Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971453.0,70.97,53.0,3.38,1012.0,70.25,0.0
0.861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971453.861,70.97266666666667,53.0,3.3806666666666665,1012.0,70.253,0.0
1.863,0.0,39.64316,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971454.863,70.97533333333334,53.0,3.381333333333333,1012.0,70.256,0.0
2.863,0.0,39.64316,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971455.863,70.978,53.0,3.382,1012.0,70.259,0.0
3.864,0.0,39.64316,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971456.864,70.98066666666666,53.0,3.3826666666666667,1012.0,70.262,0.0
4.861,0.0,39.64316,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971457.861,70.98333333333333,53.0,3.3833333333333333,1012.0,70.265,0.0
6.86,0.0,39.64316,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971459.86,70.986,53.0,3.384,1012.0,70.268,0.0
7.863,0.0,39.64316,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688971460.863,70.98866666666666,53.0,3.3846666666666665,1012.0,70.271,0.0
8.855,0.0,39.64315,0.01929219,0.0,369.3965,0.006300778,0.0,0.027783,0.0,0.0,0.2645174,0.0,155,75.2,0.0,1,0.0,3.76439e-06,0.0,0.1444353,75.74,0,0,0,76.1,0.0,75.875,78.8,71.76471,0,-0.4351132,0.0,0.0,74.48,0.03,27.048,13.632,0.0,16.82983,0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,40,0,2.245462,0.0,0.0,0,1688971461.855,70.99133333333333,53.0,3.385333333333333,1012.0,70.274,0.0
9.863,0.0,39.64315,0.01929219,0.0,369.3965,0.006300778,0.0,0.027783,0.0,0.0,0.2645174,0.0,155,75.2,0.0,1,0.0,3.76439e-06,0.0,0.1444353,75.74,0,0,0,76.1,0.0,75.875,78.8,71.76471,0,-0.4351132,0.0,0.0,74.48,0.03,27.048,13.632,0.0,16.82983,0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,40,0,2.245462,0.0,0.0,0,1688971462.863,70.994,53.0,3.386,1012.0,70.277,0.0
