Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688513758.0,89.44,25.0,11.5,999.0,86.41,0.0
1,0.599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688513758.599,89.4405,25.016666666666666,11.5,999.0166666666668,86.413,0.0
2,1.547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688513759.547,89.441,25.033333333333335,11.5,999.0333333333332,86.416,0.0
3,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688513760.495,89.4415,25.05,11.5,999.05,86.419,0.0
4,3.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688513761.473,89.442,25.066666666666663,11.5,999.0666666666668,86.422,0.0
5,4.464,48.71002,39.67638,0.0,0.4022958,0.0,0.0,1479.5,0.518616,14.5098,0.7057381,0.0,38.43137,152,80.6,0.0,2,0.0,0.0,0.0,0.0,83.93,0,0,0,83.75,1389.75,82.625,86.0,65.88235,0,-10.44272,0.0,5.567486,80.816,1.02,27.048,13.574,0.0,16.06934,0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,51,0,4.623011,15.68627,40.78431,0,1688513762.464,89.4425,25.083333333333332,11.5,999.0833333333334,86.425,0.0
6,5.344,48.71002,39.67638,0.0,0.4022958,0.0,0.0,1479.5,0.518616,14.5098,0.7057381,0.0,38.43137,152,80.6,0.0,2,0.0,0.0,0.0,0.0,83.93,0,0,0,83.75,1389.75,82.625,86.0,65.88235,0,-10.44272,0.0,5.567486,80.816,1.02,27.048,13.574,0.0,16.06934,0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,51,0,4.623011,15.68627,40.78431,0,1688513763.344,89.443,25.1,11.5,999.1,86.428,0.0
7,6.293,48.71002,39.67638,0.0,0.4022958,0.0,0.0,1479.5,0.518616,14.5098,0.7057381,0.0,38.43137,152,80.6,0.0,2,0.0,0.0,0.0,0.0,83.93,0,0,0,83.75,1389.75,82.625,86.0,65.88235,0,-10.44272,0.0,5.567486,80.816,1.02,27.048,13.574,0.0,16.06934,0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,51,0,4.623011,15.68627,40.78431,0,1688513764.293,89.4435,25.116666666666667,11.5,999.1166666666668,86.431,0.0
8,7.242,7.002079,39.67572,0.3549638,2.798574,342.3715,0.1159302,1233.5,0.530523,18.03922,0.7315508,4.866949,46.66667,152,80.6,6.427637,4,0.002501642,0.0003526697,7.093443,0.120904,83.93,0,0,0,83.75,1300.0,82.625,86.0,65.88235,0,-8.847302,-2.892436,5.567486,80.816,14.88,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,20.72296,92.3,51,0,4.490925,28.62745,62.35294,0,1688513765.242,89.444,25.133333333333333,11.5,999.1333333333332,86.434,0.0
9,8.194,7.002079,39.67572,0.3549638,2.798574,342.3715,0.1159302,1233.5,0.530523,18.03922,0.7315508,4.866949,46.66667,152,80.6,6.427637,4,0.002501642,0.0003526697,7.093443,0.120904,83.93,0,0,0,83.75,1300.0,82.625,86.0,65.88235,0,-8.847302,-2.892436,5.567486,80.816,14.88,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,20.72296,92.3,51,0,4.490925,28.62745,62.35294,0,1688513766.194,89.4445,25.15,11.5,999.15,86.437,0.0
10,9.146,7.002079,39.67572,0.3549638,2.798574,342.3715,0.1159302,1233.5,0.530523,18.03922,0.7315508,4.866949,46.66667,152,80.6,6.427637,4,0.002501642,0.0003526697,7.093443,0.120904,83.93,0,0,0,83.75,1300.0,82.625,86.0,65.88235,0,-8.847302,-2.892436,5.567486,80.816,14.88,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,20.72296,92.3,51,0,4.490925,28.62745,62.35294,0,1688513767.146,89.445,25.166666666666668,11.5,999.1666666666666,86.44,0.0
11,10.111,7.002079,39.67572,0.3549638,2.798574,342.3715,0.1159302,1233.5,0.530523,18.03922,0.7315508,4.866949,46.66667,152,80.6,6.427637,4,0.002501642,0.0003526697,7.093443,0.120904,83.93,0,0,0,83.75,1300.0,82.625,86.0,65.88235,0,-8.847302,-2.892436,5.567486,80.816,14.88,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,20.72296,92.3,51,0,4.490925,28.62745,62.35294,0,1688513768.111,89.4455,25.183333333333337,11.5,999.1833333333332,86.443,0.0
12,11.109,11.18549,39.67452,0.7777215,1.751898,342.3859,0.2540017,1289.0,1.152333,38.03922,1.295345,10.66343,73.33334,152,80.6,16.74561,2,0.01068465,0.00108667,9.832475,0.1762335,83.93,0,0,0,83.75,1832.75,82.625,84.2,65.88235,0,-5.221359,-1.546836,12.72568,80.816,8.38,27.097,13.554,0.0,15.3894,0,1,13.5,0,0,0,0,0,0,0,43.44881,92.3,50,0,3.830495,55.29412,96.47059,0,1688513769.109,89.446,25.2,11.5,999.2,86.446,0.0
13,12.108,11.18549,39.67452,0.7777215,1.751898,342.3859,0.2540017,1289.0,1.152333,38.03922,1.295345,10.66343,73.33334,152,80.6,16.74561,2,0.01068465,0.00108667,9.832475,0.1762335,83.93,0,0,0,83.75,1832.75,82.625,84.2,65.88235,0,-5.221359,-1.546836,12.72568,80.816,8.38,27.097,13.554,0.0,15.3894,0,1,13.5,0,0,0,0,0,0,0,43.44881,92.3,50,0,3.830495,55.29412,96.47059,0,1688513770.108,89.4465,25.216666666666665,11.5,999.2166666666668,86.449,0.0
14,13.108,11.18549,39.67452,0.7777215,1.751898,342.3859,0.2540017,1289.0,1.152333,38.03922,1.295345,10.66343,73.33334,152,80.6,16.74561,2,0.01068465,0.00108667,9.832475,0.1762335,83.93,0,0,0,83.75,1832.75,82.625,84.2,65.88235,0,-5.221359,-1.546836,12.72568,80.816,8.38,27.097,13.554,0.0,15.3894,0,1,13.5,0,0,0,0,0,0,0,43.44881,92.3,50,0,3.830495,55.29412,96.47059,0,1688513771.108,89.447,25.233333333333334,11.5,999.2333333333332,86.452,0.0
15,14.118,8.46583,39.67164,1.761541,2.314698,342.4176,0.5753145,1985.75,2.63277,55.68628,2.846077,24.15269,96.47059,152,80.6,36.61189,2,0.02443662,0.002705148,9.033378,0.2353631,84.56,0,0,0,83.75,2808.5,82.625,84.2,65.88235,0,-1.450377,2.718211,21.47459,80.816,0.13,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,63.88148,92.3,50,0,2.905892,58.82353,92.94118,0,1688513772.118,89.4475,25.25,11.5,999.25,86.455,0.0
16,15.117,8.46583,39.67164,1.761541,2.314698,342.4176,0.5753145,1985.75,2.63277,55.68628,2.846077,24.15269,96.47059,152,80.6,36.61189,2,0.02443662,0.002705148,9.033378,0.2353631,84.56,0,0,0,83.75,2808.5,82.625,84.2,65.88235,0,-1.450377,2.718211,21.47459,80.816,0.13,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,63.88148,92.3,50,0,2.905892,58.82353,92.94118,0,1688513773.117,89.448,25.266666666666666,11.5,999.2666666666668,86.458,0.0
17,16.116,8.46583,39.67164,1.761541,2.314698,342.4176,0.5753145,1985.75,2.63277,55.68628,2.846077,24.15269,96.47059,152,80.6,36.61189,2,0.02443662,0.002705148,9.033378,0.2353631,84.56,0,0,0,83.75,2808.5,82.625,84.2,65.88235,0,-1.450377,2.718211,21.47459,80.816,0.13,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,63.88148,92.3,50,0,2.905892,58.82353,92.94118,0,1688513774.116,89.4485,25.283333333333335,11.5,999.2833333333332,86.461,0.0
18,17.116,8.46583,39.67164,1.761541,2.314698,342.4176,0.5753145,1985.75,2.63277,55.68628,2.846077,24.15269,96.47059,152,80.6,36.61189,2,0.02443662,0.002705148,9.033378,0.2353631,84.56,0,0,0,83.75,2808.5,82.625,84.2,65.88235,0,-1.450377,2.718211,21.47459,80.816,0.13,27.048,13.554,0.0,15.11963,0,1,13.5,0,0,0,0,0,0,0,63.88148,92.3,50,0,2.905892,58.82353,92.94118,0,1688513775.116,89.449,25.3,11.5,999.3,86.464,0.0
