Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111740.0,64.78,74.0,3.44,1012.0,64.44,0.0
1,0.163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111740.163,64.77966666666667,74.0,3.44,1012.0,64.43966666666667,0.0
2,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111741.12,64.77933333333334,74.0,3.44,1012.0,64.43933333333334,0.0
3,2.087,0.0,39.48463,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111742.087,64.779,74.0,3.44,1012.0,64.439,0.0
4,2.999,0.0,39.48463,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111742.999,64.77866666666667,74.0,3.44,1012.0,64.43866666666666,0.0
5,3.947,0.0,39.48463,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111743.947,64.77833333333334,74.0,3.44,1012.0,64.43833333333333,0.0
6,4.907,0.0,39.48463,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111744.907,64.778,74.0,3.44,1012.0,64.438,0.0
7,5.853,0.0,39.48463,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688111745.853,64.77766666666666,74.0,3.44,1012.0,64.43766666666666,0.0
8,9.822,0.0,39.48462,0.0214455,0.0,250.9345,0.007004043,0.0,0.030429,0.0,0.0,0.2940417,0.0,70,77.0,0.0,1,0.0,5.072653e-06,0.0,0.1622273,80.15,0,0,0,102.65,0.0,98.375,96.8,70.98039,0,-0.4351132,0.0,5.567486,77.36,-0.04,27.048,13.652,0.0,14.84985,41.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,42,0,10.03854,0.0,0.0,0,1688111749.822,64.77733333333333,74.0,3.44,1012.0,64.43733333333333,0.0
9,10.84,0.0,39.48462,0.0214455,0.0,250.9345,0.007004043,0.0,0.030429,0.0,0.0,0.2940417,0.0,70,77.0,0.0,1,0.0,5.072653e-06,0.0,0.1622273,80.15,0,0,0,102.65,0.0,98.375,96.8,70.98039,0,-0.4351132,0.0,5.567486,77.36,-0.04,27.048,13.652,0.0,14.84985,41.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,42,0,10.03854,0.0,0.0,0,1688111750.84,64.777,74.0,3.44,1012.0,64.437,0.0
10,11.826,0.0,39.48462,0.0214455,0.0,250.9345,0.007004043,0.0,0.030429,0.0,0.0,0.2940417,0.0,70,77.0,0.0,1,0.0,5.072653e-06,0.0,0.1622273,80.15,0,0,0,102.65,0.0,98.375,96.8,70.98039,0,-0.4351132,0.0,5.567486,77.36,-0.04,27.048,13.652,0.0,14.84985,41.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,42,0,10.03854,0.0,0.0,0,1688111751.826,64.77666666666667,74.0,3.44,1012.0,64.43666666666667,0.0
11,12.841,0.0,39.48462,0.0214455,0.0,250.9345,0.007004043,0.0,0.030429,0.0,0.0,0.2940417,0.0,70,77.0,0.0,1,0.0,5.072653e-06,0.0,0.1622273,80.15,0,0,0,102.65,0.0,98.375,96.8,70.98039,0,-0.4351132,0.0,5.567486,77.36,-0.04,27.048,13.652,0.0,14.84985,41.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,42,0,10.03854,0.0,0.0,0,1688111752.841,64.77633333333334,74.0,3.44,1012.0,64.43633333333334,0.0
12,13.836,0.0,39.48462,0.0214455,0.0,250.9345,0.007004043,0.0,0.030429,0.0,0.0,0.2940417,0.0,70,77.0,0.0,1,0.0,5.072653e-06,0.0,0.1622273,80.15,0,0,0,102.65,0.0,98.375,96.8,70.98039,0,-0.4351132,0.0,5.567486,77.36,-0.04,27.048,13.652,0.0,14.84985,41.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,42,0,10.03854,0.0,0.0,0,1688111753.836,64.776,74.0,3.44,1012.0,64.43599999999999,0.0
