Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1689483043.0,75.87,54.0,2.84,1011.0,75.69,48.0
0.943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1689483043.943,75.87,54.0,2.84,1011.0,75.69,48.0
1.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1689483044.928,75.87,54.0,2.84,1011.0,75.69,48.0
2.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1689483045.935,75.87,54.0,2.84,1011.0,75.69,48.0
3.928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1689483046.928,75.87,54.0,2.84,1011.0,75.69,48.0
4.929,0.0,39.14132,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,174,86.0,0.0,1,0.0,0.0,0.0,0.0,90.86,0,0,0,91.4,0.0,135.5,136.4,50.58823,0,-0.4351132,0.0,0.0,85.424,0.02,27.048,14.316,0,15.67993,40.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,0,0,6.340129,0.0,0.0,0,1689483047.929,75.87,54.0,2.84,1011.0,75.69,48.0
5.929,0.0,39.14132,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,174,86.0,0.0,1,0.0,0.0,0.0,0.0,90.86,0,0,0,91.4,0.0,135.5,136.4,50.58823,0,-0.4351132,0.0,0.0,85.424,0.02,27.048,14.316,0,15.67993,40.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,0,0,6.340129,0.0,0.0,0,1689483048.929,75.87,54.0,2.84,1011.0,75.69,48.0
6.936,0.0,39.14132,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,174,86.0,0.0,1,0.0,0.0,0.0,0.0,90.86,0,0,0,91.4,0.0,135.5,136.4,50.58823,0,-0.4351132,0.0,0.0,85.424,0.02,27.048,14.316,0,15.67993,40.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,0,0,6.340129,0.0,0.0,0,1689483049.936,75.87,54.0,2.84,1011.0,75.69,48.0
8.943,0.0,39.14128,0.02093196,0.0,448.653,0.006836321,0.0,0.030429,0.0,0.0,0.2870004,0.0,174,86.0,0.0,1,0.0,2.468625e-05,0.0,0.133951,90.86,0,0,0,91.4,0.0,135.5,136.4,50.58823,0,-0.1450377,0.0,0.0,85.424,0.05,27.048,14.335,0,15.65918,40.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,0,0,6.340129,0.0,0.0,0,1689483051.943,75.87,54.0,2.84,1011.0,75.69,48.0
9.948,0.0,39.14128,0.02093196,0.0,448.653,0.006836321,0.0,0.030429,0.0,0.0,0.2870004,0.0,174,86.0,0.0,1,0.0,2.468625e-05,0.0,0.133951,90.86,0,0,0,91.4,0.0,135.5,136.4,50.58823,0,-0.1450377,0.0,0.0,85.424,0.05,27.048,14.335,0,15.65918,40.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,0,0,6.340129,0.0,0.0,0,1689483052.948,75.87,54.0,2.84,1011.0,75.69,48.0
