Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688270837.0,75.43,52.0,5.39,1012.0,75.13,0.0
1,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688270837.797,75.43400000000001,51.983333333333334,5.393333333333333,1012.0,75.13333333333333,0.0
2,1.801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688270838.801,75.438,51.96666666666667,5.3966666666666665,1012.0,75.13666666666666,0.0
3,2.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688270839.797,75.44200000000001,51.95,5.3999999999999995,1012.0,75.14,0.0
4,3.801,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0,1688270840.801,75.44600000000001,51.93333333333333,5.403333333333333,1012.0,75.14333333333333,0.0
5,4.814,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0,1688270841.814,75.45,51.916666666666664,5.406666666666666,1012.0,75.14666666666666,0.0
6,5.806,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0,1688270842.806,75.45400000000001,51.9,5.409999999999999,1012.0,75.14999999999999,0.0
7,6.801,0.0,39.76766,0.0,0.0,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,867,73.4,0.0,1,0.0,0.0,0.0,0.0,73.85,0,0,0,80.15,0.0,80.375,111.2,64.31373,0,-0.4351132,0.0,0.0,73.328,0.0,27.048,13.671,0.0,15.89966,40.0,1,13.5,0,0,0,0,0,0,0,0.0,92.3,38,0,7.660989,0.0,0.0,0,1688270843.801,75.45800000000001,51.88333333333333,5.413333333333333,1012.0,75.15333333333334,0.0
8,7.812,0.0,39.7676,0.01932856,0.0,306.0277,0.006312655,0.0,0.027783,0.0,0.0,0.265016,0.0,867,73.4,0.0,1,0.0,1.996335e-05,0.0,0.1188938,73.85,0,0,0,80.15,1240.5,80.375,107.6,64.31373,0,0.0,0.0,7.953551,73.328,0.67,27.048,13.593,0.0,15.89966,40.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,41,0,7.264731,14.90196,61.56863,0,1688270844.812,75.462,51.86666666666667,5.416666666666666,1012.0,75.15666666666667,0.0
9,8.809,0.0,39.7676,0.01932856,0.0,306.0277,0.006312655,0.0,0.027783,0.0,0.0,0.265016,0.0,867,73.4,0.0,1,0.0,1.996335e-05,0.0,0.1188938,73.85,0,0,0,80.15,1240.5,80.375,107.6,64.31373,0,0.0,0.0,7.953551,73.328,0.67,27.048,13.593,0.0,15.89966,40.5,1,13.5,0,0,0,0,0,0,0,0.0,92.3,41,0,7.264731,14.90196,61.56863,0,1688270845.809,75.46600000000001,51.85,5.42,1012.0,75.16,0.0
