Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688531814.0,61.93,82.0,1.99,1013.0,61.68,2.0
1,0.787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688531814.787,61.93183333333333,82.0,1.99,1013.0,61.68216666666667,2.0
2,1.784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688531815.784,61.93366666666667,82.0,1.99,1013.0,61.684333333333335,2.0
3,2.783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688531816.783,61.9355,82.0,1.99,1013.0,61.6865,2.0
4,3.785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688531817.785,61.937333333333335,82.0,1.99,1013.0,61.68866666666667,2.0
5,4.794,0.0,39.66974,0.0,0.0,0.0,0.0,1299.0,0.882441,29.01961,1.017976,0.0,60.0,10,62.6,0.0,2,0.0,0.0,0.0,0.0,61.88,0,0,0,75.65,1298.25,97.25,93.2,38.82353,0,-7.832038,0.0,0.0,61.808,2.47,27.048,14.472,0.0,14.94995,39.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,0,0,4.226753,28.62745,59.60784,0,1688531818.794,61.939166666666665,82.0,1.99,1013.0,61.69083333333333,2.0
6,5.787,0.0,39.66974,0.0,0.0,0.0,0.0,1299.0,0.882441,29.01961,1.017976,0.0,60.0,10,62.6,0.0,2,0.0,0.0,0.0,0.0,61.88,0,0,0,75.65,1298.25,97.25,93.2,38.82353,0,-7.832038,0.0,0.0,61.808,2.47,27.048,14.472,0.0,14.94995,39.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,0,0,4.226753,28.62745,59.60784,0,1688531819.787,61.941,82.0,1.99,1013.0,61.693,2.0
7,6.788,0.0,39.66974,0.0,0.0,0.0,0.0,1299.0,0.882441,29.01961,1.017976,0.0,60.0,10,62.6,0.0,2,0.0,0.0,0.0,0.0,61.88,0,0,0,75.65,1298.25,97.25,93.2,38.82353,0,-7.832038,0.0,0.0,61.808,2.47,27.048,14.472,0.0,14.94995,39.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,0,0,4.226753,28.62745,59.60784,0,1688531820.788,61.94283333333333,82.0,1.99,1013.0,61.695166666666665,2.0
8,7.787,0.0,39.66828,0.5815476,0.0,355.5526,0.1899318,1305.25,0.887733,28.23529,0.9974737,7.973663,59.60784,10,62.6,12.41161,2,0.0,0.0006710151,0.0,0.127952,61.88,0,0,0,75.65,1305.25,97.25,93.2,38.82353,0,-7.687,0.0,3.976776,61.808,-0.9,27.048,14.492,0.0,14.4397,39.0,1,14.3,0,0,0,0,0,0,0,32.08472,92.3,0,0,3.96258,28.62745,59.60784,0,1688531821.787,61.94466666666666,82.0,1.99,1013.0,61.69733333333333,2.0
9,8.787,0.0,39.66828,0.5815476,0.0,355.5526,0.1899318,1305.25,0.887733,28.23529,0.9974737,7.973663,59.60784,10,62.6,12.41161,2,0.0,0.0006710151,0.0,0.127952,61.88,0,0,0,75.65,1305.25,97.25,93.2,38.82353,0,-7.687,0.0,3.976776,61.808,-0.9,27.048,14.492,0.0,14.4397,39.0,1,14.3,0,0,0,0,0,0,0,32.08472,92.3,0,0,3.96258,28.62745,59.60784,0,1688531822.787,61.9465,82.0,1.99,1013.0,61.6995,2.0
