Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688514745.0,89.47,28.0,11.5,999.0,86.94,0.0
1,0.529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688514745.529,89.47,28.0,11.5,999.0,86.94,0.0
2,1.472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688514746.472,89.47,28.0,11.5,999.0,86.94,0.0
3,2.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688514747.438,89.47,28.0,11.5,999.0,86.94,0.0
4,3.438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688514748.438,89.47,28.0,11.5,999.0,86.94,0.0
5,4.448,0.0,39.64191,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,80.6,0.0,1,0.0,0.0,0.0,0.0,89.6,0,0,0,85.1,0.0,109.625,109.4,63.92157,0,-0.4351132,-6.374312e-16,0.0,80.816,-0.04,27.048,14.375,0.0,14.84985,0.0,1,14.2,0,0,0,0,0,0,0,0.0,92.3,28,0,4.755096,0.0,0.0,0,1688514749.448,89.47,28.0,11.5,999.0,86.94,0.0
6,5.44,0.0,39.64191,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,80.6,0.0,1,0.0,0.0,0.0,0.0,89.6,0,0,0,85.1,0.0,109.625,109.4,63.92157,0,-0.4351132,-6.374312e-16,0.0,80.816,-0.04,27.048,14.375,0.0,14.84985,0.0,1,14.2,0,0,0,0,0,0,0,0.0,92.3,28,0,4.755096,0.0,0.0,0,1688514750.44,89.47,28.0,11.5,999.0,86.94,0.0
7,6.448,0.0,39.64191,0.0,0.0,0.0,0.0,0.0,0.030429,0.0,0.0,0.0,0.0,0,80.6,0.0,1,0.0,0.0,0.0,0.0,89.6,0,0,0,85.1,0.0,109.625,109.4,63.92157,0,-0.4351132,-6.374312e-16,0.0,80.816,-0.04,27.048,14.375,0.0,14.84985,0.0,1,14.2,0,0,0,0,0,0,0,0.0,92.3,28,0,4.755096,0.0,0.0,0,1688514751.448,89.47,28.0,11.5,999.0,86.94,0.0
8,7.457,0.0,39.64104,0.3841178,0.0,342.908,0.1254518,1296.0,0.512001,16.47059,0.7574849,5.266681,47.45098,0,80.6,0.0,1,0.0,0.0003868976,0.0,0.1221406,89.6,0,0,0,85.1,1325.75,109.625,107.6,63.92157,0,-8.702264,-6.374312e-16,0.0,80.816,0.06,27.048,14.355,0.0,15.55908,0.0,1,14.2,0,0,0,0,0,0,0,21.34352,92.3,28,0,4.755096,25.09804,61.96078,0,1688514752.457,89.47,28.0,11.5,999.0,86.94,0.0
9,8.439,0.0,39.64104,0.3841178,0.0,342.908,0.1254518,1296.0,0.512001,16.47059,0.7574849,5.266681,47.45098,0,80.6,0.0,1,0.0,0.0003868976,0.0,0.1221406,89.6,0,0,0,85.1,1325.75,109.625,107.6,63.92157,0,-8.702264,-6.374312e-16,0.0,80.816,0.06,27.048,14.355,0.0,15.55908,0.0,1,14.2,0,0,0,0,0,0,0,21.34352,92.3,28,0,4.755096,25.09804,61.96078,0,1688514753.439,89.47,28.0,11.5,999.0,86.94,0.0
