Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301628.0,80.44,24.0,14.97,1020.0,79.07,0.0
1,0.826,88.66882,37.34867,0.0,0.2210003,0.0,0.0,0.0,0.115101,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6290219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301628.826,80.44033333333333,24.0,14.97,1020.0,79.07033333333332,0.0
2,1.786,88.66882,37.34867,0.0,0.2210003,0.0,0.0,0.0,0.115101,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6290219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301629.786,80.44066666666666,24.0,14.97,1020.0,79.07066666666665,0.0
3,2.729,88.66882,37.34867,0.0,0.2210003,0.0,0.0,0.0,0.115101,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6290219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301630.729,80.441,24.0,14.97,1020.0,79.071,0.0
4,3.702,88.66882,37.34867,0.0,0.2210003,0.0,0.0,0.0,0.115101,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6290219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301631.702,80.44133333333333,24.0,14.97,1020.0,79.07133333333333,0.0
5,4.625,88.66882,37.34867,0.0,0.2210003,0.0,0.0,0.0,0.115101,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6290219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301632.625,80.44166666666666,24.0,14.97,1020.0,79.07166666666666,0.0
6,5.573,88.66882,37.34867,0.0,0.2210003,0.0,0.0,0.0,0.115101,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.6290219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687301633.573,80.442,24.0,14.97,1020.0,79.07199999999999,0.0
7,6.531,304.9967,37.34893,0.02444765,0.06424933,117.5401,0.007984537,0.0,0.030429,0.0,0.0,0.3352045,0.0,21,80.6,0.0,1,0.001792219,5.96165e-06,300.6246,0.09600265,86.45,9,2545,2530,79.25,0.0,119.75,118.4,61.17647,0,-1.30534,0.543906,9.544262,80.816,10.66,27.048,14.277,0.8,15.08911,39.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,56,0,8.98185,0.0,0.0,0,1687301634.531,80.44233333333334,24.0,14.97,1020.0,79.07233333333333,0.0
8,7.473,304.9967,37.34893,0.02444765,0.06424933,117.5401,0.007984537,0.0,0.030429,0.0,0.0,0.3352045,0.0,21,80.6,0.0,1,0.001792219,5.96165e-06,300.6246,0.09600265,86.45,9,2545,2530,79.25,0.0,119.75,118.4,61.17647,0,-1.30534,0.543906,9.544262,80.816,10.66,27.048,14.277,0.8,15.08911,39.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,56,0,8.98185,0.0,0.0,0,1687301635.473,80.44266666666667,24.0,14.97,1020.0,79.07266666666666,0.0
9,8.427,304.9967,37.34893,0.02444765,0.06424933,117.5401,0.007984537,0.0,0.030429,0.0,0.0,0.3352045,0.0,21,80.6,0.0,1,0.001792219,5.96165e-06,300.6246,0.09600265,86.45,9,2545,2530,79.25,0.0,119.75,118.4,61.17647,0,-1.30534,0.543906,9.544262,80.816,10.66,27.048,14.277,0.8,15.08911,39.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,56,0,8.98185,0.0,0.0,0,1687301636.427,80.443,24.0,14.97,1020.0,79.073,0.0
