Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687302174.0,80.46,24.0,14.97,1020.0,79.09,0.0
1,5.459,335.2314,37.33765,0.0,0.05845466,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.006165192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687302179.459,80.46016666666667,24.0,14.97,1020.0,79.09,0.0
2,6.447,335.2314,37.33765,0.0,0.05845466,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.006165192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687302180.447,80.46033333333332,24.0,14.97,1020.0,79.09,0.0
3,7.443,335.2314,37.33765,0.0,0.05845466,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.006165192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687302181.443,80.4605,24.0,14.97,1020.0,79.09,0.0
4,8.44,335.2314,37.33765,0.0,0.05845466,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.006165192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687302182.44,80.46066666666665,24.0,14.97,1020.0,79.09,0.0
5,9.441,335.2314,37.33765,0.0,0.05845466,0.0,0.0,0.0,0.027783,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.006165192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1687302183.441,80.46083333333333,24.0,14.97,1020.0,79.09,0.0
6,10.436,349.7169,37.33821,0.01954462,0.05603343,117.7294,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,28,80.6,0.0,1,0.003779107,1.062036e-05,355.8362,0.1659132,84.56,9,2189,2191,83.75,0.0,124.25,125.6,55.68628,0,-1.30534,0.2350962,7.953551,80.816,-0.52,27.048,14.277,0.7,15.06958,38.5,1,14.1,0,0,0,0,0,0,0,0.0,92.3,51,0,10.83105,0.0,0.0,0,1687302184.436,80.461,24.0,14.97,1020.0,79.09,0.0
7,11.437,349.7169,37.33821,0.01954462,0.05603343,117.7294,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,28,80.6,0.0,1,0.003779107,1.062036e-05,355.8362,0.1659132,84.56,9,2189,2191,83.75,0.0,124.25,125.6,55.68628,0,-1.30534,0.2350962,7.953551,80.816,-0.52,27.048,14.277,0.7,15.06958,38.5,1,14.1,0,0,0,0,0,0,0,0.0,92.3,51,0,10.83105,0.0,0.0,0,1687302185.437,80.46116666666666,24.0,14.97,1020.0,79.09,0.0
8,12.437,349.7169,37.33821,0.01954462,0.05603343,117.7294,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,28,80.6,0.0,1,0.003779107,1.062036e-05,355.8362,0.1659132,84.56,9,2189,2191,83.75,0.0,124.25,125.6,55.68628,0,-1.30534,0.2350962,7.953551,80.816,-0.52,27.048,14.277,0.7,15.06958,38.5,1,14.1,0,0,0,0,0,0,0,0.0,92.3,51,0,10.83105,0.0,0.0,0,1687302186.437,80.46133333333333,24.0,14.97,1020.0,79.09,0.0
9,13.438,349.7169,37.33821,0.01954462,0.05603343,117.7294,0.006383219,0.0,0.027783,0.0,0.0,0.2679785,0.0,28,80.6,0.0,1,0.003779107,1.062036e-05,355.8362,0.1659132,84.56,9,2189,2191,83.75,0.0,124.25,125.6,55.68628,0,-1.30534,0.2350962,7.953551,80.816,-0.52,27.048,14.277,0.7,15.06958,38.5,1,14.1,0,0,0,0,0,0,0,0.0,92.3,51,0,10.83105,0.0,0.0,0,1687302187.438,80.4615,24.0,14.97,1020.0,79.09,0.0
