Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183295.0,76.77,58.0,5.75,998.0,76.87,0.0
1,0.433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183295.433,76.7715,58.0,5.75,998.0333333333332,76.8715,0.0
2,1.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183296.391,76.773,58.0,5.75,998.0666666666668,76.873,0.0
3,2.334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183297.334,76.77449999999999,58.0,5.75,998.1,76.8745,0.0
4,3.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183298.293,76.776,58.0,5.75,998.1333333333332,76.876,0.0
5,4.358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688183299.358,76.7775,58.0,5.75,998.1666666666666,76.8775,0.0
6,5.297,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183300.297,76.779,58.0,5.75,998.2,76.879,0.0
7,6.312,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183301.312,76.78049999999999,58.0,5.75,998.2333333333332,76.8805,0.0
8,7.298,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183302.298,76.782,58.0,5.75,998.2666666666668,76.882,0.0
9,8.298,13.11493,39.98095,0.0,1.494163,0.0,0.0,1299.0,0.927423,30.19608,1.084366,0.0,61.56863,34,75.2,0.0,2,0.0,0.0,0.0,0.0,75.11,0,0,0,77.45,1286.5,82.625,82.4,70.98039,0,-7.396924,0.0,16.70246,74.48,-2.55,27.097,14.394,0,13.35938,0.0,1,14.3,0,0,0,0,0,0,0,0.0,92.3,21,0,7.000559,30.58824,61.96078,0,1688183303.298,76.7835,58.0,5.75,998.3,76.8835,0.0
