Unnamed: 0,Time (sec),Instant fuel economy (MPG),Total fuel economy (MPG),Fuel rate (gal/hr),Instant CO2 rate (lb/mile),Total CO2 (lbs),CO2 flow (lb/min),Engine RPM (RPM),Mass air flow rate (lb/min),Absolute load value (%),Mass air flow rate (lb/min).1,Engine Power (hp),Calculated load value (%),Time since engine start (sec),Ambient air temperature (°F),Intake manifold absolute pressure (inHg),Fuel system 1 status,Trip Distance (miles),Trip Fuel (gal),Trip Fuel Economy (MPG),Trip Duration (min),Ambient Temperature Sensor (°F),Blower Motor Speed Level,Compressor Speed (RPM),Compressor Target Speed (RPM),Room Temperature Sensor (°F),Engine Speed (RPM),Initial Intake Air Temperature (°F),Intake Air (°F),Hybrid battery pack remaining life (%),Traction Battery Pack Performance Retention Rate (%),Boost (psi),Acceleration (ft/s²),Vehicle Speed (MPH),Adjusted Ambient Temperature (°F),Motor Actual Current (A),Motor Power Supply Voltage (V),Battery Voltage (V),Aircon Consumption Power (kW),Battery Block Max Voltage (V),Cooling Fan 0 (%),Status of the Aircon Gate Status / OFF or ON,Battery Voltage (V).1,Status of the Engine Condition/ Stop or Run,Engine fuel rate (gal/hr),Driver's demand engine - percent torque (%),Actual engine - percent torque (%),Status of the Remote A/C Power Supply Request/ OFF or ON,Fuel injection timing (deg),Enhanced Hybrid/EV Charging State,Engine Torque (lb•ft),Set Temperature (Driver Side) (°F),Solar Sensor (Driver Side),Solar Ventilation Switch,Fuel Input (gal),Vehicle Load (%),Calculate Load (%),Total Weight Information (lbs),Timestamp,Outside Temp,Humidity,Wind Speed,Pressure,Feels_like,Clouds
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688256465.0,88.83,31.0,8.93,1011.0,86.81,1.0
1,0.417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688256465.417,88.838,31.0,8.9285,1011.0,86.819,1.0
2,1.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688256466.412,88.846,31.0,8.927,1011.0,86.828,1.0
3,2.421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688256467.421,88.854,31.0,8.9255,1011.0,86.837,1.0
4,3.416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,1688256468.416,88.862,31.0,8.924,1011.0,86.846,1.0
5,4.414,8.419016,39.67401,0.0,2.327569,0.0,0.0,3459.25,4.44528,54.5098,4.832438,0.0,84.31373,174,82.4,0.0,2,0.0,0.0,0.0,0.0,85.19,18,4642,4627,81.95,2582.0,126.5,104.0,57.2549,0,-2.610679,0.0,29.42814,82.544,-0.06,27.048,14.238,1.55,16.06934,69.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,35,0,5.283441,48.23529,77.64706,0,1688256469.414,88.87,31.0,8.9225,1011.0,86.855,1.0
6,5.411,8.419016,39.67401,0.0,2.327569,0.0,0.0,3459.25,4.44528,54.5098,4.832438,0.0,84.31373,174,82.4,0.0,2,0.0,0.0,0.0,0.0,85.19,18,4642,4627,81.95,2582.0,126.5,104.0,57.2549,0,-2.610679,0.0,29.42814,82.544,-0.06,27.048,14.238,1.55,16.06934,69.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,35,0,5.283441,48.23529,77.64706,0,1688256470.411,88.878,31.0,8.921,1011.0,86.864,1.0
7,6.407,8.419016,39.67401,0.0,2.327569,0.0,0.0,3459.25,4.44528,54.5098,4.832438,0.0,84.31373,174,82.4,0.0,2,0.0,0.0,0.0,0.0,85.19,18,4642,4627,81.95,2582.0,126.5,104.0,57.2549,0,-2.610679,0.0,29.42814,82.544,-0.06,27.048,14.238,1.55,16.06934,69.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,35,0,5.283441,48.23529,77.64706,0,1688256471.407,88.886,31.0,8.9195,1011.0,86.873,1.0
8,7.419,8.419016,39.67401,0.0,2.327569,0.0,0.0,3459.25,4.44528,54.5098,4.832438,0.0,84.31373,174,82.4,0.0,2,0.0,0.0,0.0,0.0,85.19,18,4642,4627,81.95,2582.0,126.5,104.0,57.2549,0,-2.610679,0.0,29.42814,82.544,-0.06,27.048,14.238,1.55,16.06934,69.0,1,14.1,0,0,0,0,0,0,0,0.0,92.3,35,0,5.283441,48.23529,77.64706,0,1688256472.419,88.894,31.0,8.918,1011.0,86.882,1.0
9,8.415,362.0296,39.67577,0.07895232,0.05412772,327.2655,0.02578561,160.0,0.117747,32.54902,0.05868888,1.082524,98.43137,174,82.4,0.6302673,1,0.03304225,9.084036e-05,363.7397,0.1241624,85.19,18,4611,4565,81.95,0.0,126.5,109.4,57.2549,0,-10.87783,0.6569626,26.24672,82.544,-0.22,27.048,14.121,1.55,16.53931,69.0,1,13.7,0,0,0,0,0,0,0,35.53462,92.3,34,0,5.679699,0.0,0.0,0,1688256473.415,88.902,31.0,8.9165,1011.0,86.891,1.0
